idnr;uthestenavn
30002944;Easy Dynamite     
30002945;Quincys Mayday     
30002946;JJ Bar King     
30002947;Penny Anny Taz     
30002948;Br Dynamite Quincy     
30002949;Gamblers Madonna     
30002950;Gamblers XXXXXXXXXX 
30002951;SV Ragged Glory 
30002952;Q Ton Ace H     
30002953;Poco Star     
30002954;Beau Shoshone     
30002955;Apache W Streaker     
30002956;Pepsi Poco     
30002957;Poco Dandy     
30002958;My Ribon Robin     
30002959;Moneys Bit O Honey     
30002960;Beau W Streaker     
30002961;Demanding Domino     
30002962;My Bit O Robin     
30002963;Q T Poco Streke     
30002964;HERICA     
30002965;INCANA     
30002969;Arazienne 
30002970;LUCKY     
30002971;JJ Barred King     
30002972;Bingo Bar Girl     
30002973;Florence     
30002974;Skip A Echo     
30002975;Flos Babe     
30002976;Gamblers Blackmale 
30002977;Cortez The Killer 
30002978;Bos Painted Blackbir     
30002979;Charlies QT Poco Bos     
30002980;Mr San Peppy     
30002981;Sugar Badger     
30002982;Doc O'Lena     
30002983;Parrs Stormy     
30002984;Peppy San Badger     
30002985;Lenas Sabrina     
30002986;Olena San Badger     
30002987;Cats Lad     
30002988;Chicks Impression     
30002989;Otoe's Wonder     
30002990;Noor Fudge     
30002991;Freckles Gentlemen     
30002992;Prettysweet Secret     
30002993;Eatmon's Doc     
30002994;Anchor Day     
30002995;Pawhuska Hancock     
30002996;Puppet     
30002997;Shades of Wonder     
30002998;Bubbaette Freckles     
30002999;Anchor Doc     
30003000;Paw's Stormy     
30003001;Stormy Watch     
30003002;Show Time Freckles     
30003003;Painted Show Time     
30003004;Erna Nibs 
30003005;Pahia 
30003006;Cosmopolita 
30003007;Dream Dancer 
30003008;Lord Gazeau 
30003009;Irish Valley 
30003011;Aafke Buitenzorg 
30003012;Nobelite B.D. 
30003013;Vinner B.D. 
30003014;Copperfield 
30003015;Premier Cru 
30003016;SASABEE     
30003018;Mr Chandon 
30003020;May Spirit 
30003026;Jolly Miss Molly 
30003027;Mini Miss Molly 
30003029;Arctic X.O. 
30003030;Major Ego 
30003031;Indiana Buttler 
30003032;Rose Buttler 
30003033;CANDY ROSE     
30003034;Monty Ås 
