Lop;Distanse;Startnr;Kusk;StartMetode;Inntjent;Heste_navn;TidVolte;TidAuto;Bane;Dato;Navn;Id_nr;Reg_Nr;Antstarter;vinnerprosent;Trippelprosent;Galoppprosent;PlasseringSisteStart;sistestart;Trippelform;vinnerform;galoppRisiko;Dagendato;Datosistestart;Antdagersistestart;Formplassering;FormHest;Formfaktordager;FormfaktorTotal;Poemngstartnr
2;2100;2;Helene Kolle;Autostart;95.000;Lightning Tile;1.18,6v;1.14,8a;  Klosterskogen Travbane ;2018-09-13;Lightning Tile;30090111;578001020135552;22;5.00;29.00;9.00;5;2018-09-01;63.8000000000000;11.0000000000000;19.8000000000000;2018-09-13 18:07:06.367;2018-09-01;12;0;55.0000000000000;100;165.0000000000000;10
2;2100;3;Josefine Eilertsen;Autostart;106.000;Chill Fighter;1.18,6v;1.14,9a;  Klosterskogen Travbane ;2018-09-13;Chill Fighter;30052279;578001020095113;40;3.00;21.00;5.00;4;2018-08-30;84.0000000000000;12.0000000000000;20.0000000000000;2018-09-13 18:07:06.367;2018-08-30;14;0;76.0000000000000;100;186.0000000000000;10
2;2100;4;Anita Valstad Hagmann;Autostart;113.165;Shootthesun;1.15,5v;1.16,1a;  Klosterskogen Travbane ;2018-09-13;Shootthesun;30089140;578001020135301;25;5.00;29.00;36.00;6;2018-09-08;72.5000000000000;12.5000000000000;90.0000000000000;2018-09-13 18:07:06.367;2018-09-08;5;0;-5.0000000000000;100;95.0000000000000;0
2;2100;5;Louise Vebostad Trudvang;Autostart;114.500;Muscles Classic;1.18,0v;1.15,4a;  Klosterskogen Travbane ;2018-09-13;Muscles Classic;30089788;578001020135433;27;17.00;33.00;11.00;10;2018-09-07;89.1000000000000;45.9000000000000;29.7000000000000;2018-09-13 18:07:06.367;2018-09-07;6;10;105.3000000000000;100;215.3000000000000;0
2;2100;6;Helen Nilsen;Autostart;135.500;Destiny Morning;1.17,4v;1.15,7a;  Klosterskogen Travbane ;2018-09-13;Destiny Morning;30085916;578001020115698;44;5.00;24.00;20.00;0;2018-09-01;105.6000000000000;22.0000000000000;88.0000000000000;2018-09-13 18:07:06.367;2018-09-01;12;0;39.6000000000000;100;139.6000000000000;0
2;2100;7;Andrea Emilie Frednes;Autostart;137.771;Bolette Tinghøj;1.18,4v;1.14,4a;Klosterskogen Travbane ;2018-09-13;Bolette Tinghøj (DK);30105101;208334201300472;35;6.00;23.00;31.00;0;2018-06-24;80.5000000000000;21.0000000000000;108.5000000000000;2018-09-13 18:07:06.367;2018-06-24;81;0;-7.0000000000000;0;-7.0000000000000;0
2;2100;8;Siv Emilie Løvvold;Autostart;153.308;Exit River;1.16,0v;1.13,2a;Klosterskogen Travbane ;2018-09-13;Exit River (S);30101959;75200211S123039;43;0.00;17.00;19.00;0;2018-08-24;73.1000000000000;0.0000000000000;81.7000000000000;2018-09-13 18:07:06.367;2018-08-24;20;0;-8.6000000000000;0;-8.6000000000000;0
2;2100;9;Heidi Bjørntvedt;Autostart;166.765;Freule Idzarda;1.16,6v;1.14,7a;Klosterskogen Travbane ;2018-09-13;Freule Idzarda (NL);30103452;528010311120145;33;3.00;22.00;9.00;0;2018-08-30;72.6000000000000;9.9000000000000;29.7000000000000;2018-09-13 18:07:06.367;2018-08-30;14;0;52.8000000000000;100;152.8000000000000;0
8;2040;1;Einar Nedrebø;Autostart;318.500;Bernardo Halbak;1.16,2v;1.13,6a;  Forus Travbane ;2018-09-04;Bernardo Halbak;30090300;578001020135483;49;20.00;39.00;12.00;6;2018-08-14;191.1000000000000;98.0000000000000;58.8000000000000;2018-09-04 16:30:19.253;2018-08-14;21;0;230.3000000000000;0;240.3000000000000;10
8;2040;2;Jørn Bjaanes;Autostart;379.494;Dave Briggs;1.15,9v;1.11,8a;Forus Travbane ;2018-09-04;Dave Briggs (US);30097654;US-2J5954;24;4.00;8.00;25.00;0;2018-05-28;19.2000000000000;9.6000000000000;60.0000000000000;2018-09-04 16:30:19.253;2018-05-28;99;0;-31.2000000000000;0;-21.2000000000000;10
