Heste_navn;Rett_navn;rettidnr;Feilidnr
Notorious Dotcom;Notorious Dotcom;30104210;30053161
Nyheims Filippa;Nyheims Filippa;30106375;30083660
Nytomthalva;Nytomthalva;30121697;30111366
O.M. Ebony;O.M. Ebony ;30120386;30106080
O.M.Eccostepp;O.M.Eccostepp;30118237;30105335
Oakridge Sowhat;Oakridge Sowhat;30105593;123545
Oasis Tile;Oasis Tile;30104135;30095053
Obama Royal;Obama Royal;30097145;30085457
Ocean Tile;Ocean Tile;30104139;30010183
Odas Eld;Odas Eld;30093641;127360
Odd Harmonia;Odd Harmonia;30110958;30084314
Odd Zevs;Odd Zevs;30102498;123338
Odd'sen;Odd'sen;30107226;118061
Odins Kaizer;Odins Kaizer;30109492;30097030
Olav;Olav;30109041;30082991
Olina;Olina;30104495;30103778
Olympic Tile;Olympic Tile;30104420;30006591
One Night;One Night;30104451;30097361
Onewaywind;Onewaywind;30103740;30038667
Opseth Alsvinn;Opseth Alsvinn;30092498;30082404
Orient Avenue;Orient Avenue;30120966;30010388
Orlando Star;Orlando Star;30104450;30083994
Orlando Street;Orlando Street;30104951;125011
Osah's Bolt;Osah's Bolt;30118456;30037745
Oti Star;Oti Star;30121140;30027477
Outcome;Outcome;30104556;30068270
Paddington;Paddington;30105994;30107884
Pallaton;Pallaton;30098299;131698
Park View;Park View ;30116969;130054
Parkiteasy;Parkiteasy;30104329;30076850
Partyman;Partyman;30103132;128699
Pave Faks;Pave Faks;30080616;30046017
Pennywice;Pennywice;30104300;131995
Persimmon Face;Persimmon Face;30120372;30056058
Petruska;Petruska;30099756;30067551
Photo Creation;Photo Creation;30102621;133532
Photo Fighter;Photo Fighter;30106656;30082815
Piglet Pil;Piglet Pil;30122061;116597
Polar Rocky;Polar Rocky;30079346;126501
Primero Greentown;Primero Greentown;30094588;30107028
Prince Yoda;Prince Yoda;30120292;30070358
Princess Corner;Princess Corner ;30115987;30101380
Princess T.;Princess T.;30104718;30041998
Prins Fredrik;Prins Fredrik;30105873;30081676
Prins Isak;Prins Isak;30104722;30067698
Prodigious Hangover;Prodigious Hangover;30093252;30092434
Proud Design;Proud Design;30104589;30088614
Proud Of My Heritage;Proud Of My Heritage;30103696;30077772
Provence Decoy;Provence Decoy;30107365;30089435
Pøylefanten;Pøylefanten;30082644;30077527
Queen Of The Sea;Queen Of The Sea;30104142;30070472
Quinzy Joe;Quinzy Joe;30094205;30094001
Quinzy Noor;Quinzy Noor;30094001;30037448
R.M.G. Dancing Queen;R.M.G. Dancing Queen;30104358;30097255
R.M.G. Red Red Wine;R.M.G. Red Red Wine;30110584;30103438
Rams Solan;Rams Solan;30104638;30036421
Ramstad Frekken;Ramstad Frekken;30104827;126502
Rappoda;Rappoda;30104378;30098447
Real Cash;Real Cash;30097896;133394
Rebellion D.E.;Rebellion D.E. ;30121689;30073761
Rein Flax;Rein Flax;30105061;30077239
