Nicolas Bazin,FRANKRIKE,Baz Ni,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Jean Michel Bazire,FRANKRIKE,Je Baz,Nei,FRANKRIKE,Proff trener A; trene og kjøre
Alice Beaucamp,FRANKRIKE,Bea Al,Ja,Ukjent bane,Amatør; trene og kjøre
Lucio Becchetti,ITALIA,Bec Lu,Nei,Ukjent bane,Proff trener A; trene og kjøre
Raymond Bechen,NORGE,Ra Bec,Ja,Sørlandets Travpark,Amatør; trene og kjøre
Giovanni Bechis,ITALIA,Bec Gi,Ja,Ukjent bane,Amatør; trene og kjøre
Sofia Beckgren,SVERIGE,So Bec,Nei,SVERIGE,Stallansatt; trene og kjøre
Bjørn Beckman,SVERIGE,Bj Bec,Ja,Ukjent bane,Amatør; trene og kjøre
Josefine Beckman,SVERIGE,Bec Jo,Ja,Ukjent bane,Amatør; trene og kjøre
R. Beeckman,U S A,Bee R.,Ja,Ukjent bane,Amatør; trene og kjøre
R. de Beer,NEDERLAND,Bee Rd,Nei,Ukjent bane,Proff trener A; trene og kjøre
Mogens Bek,DANMARK,Mo Bek,Nei,Ukjent bane,Stallansatt; trene og kjøre
Philippe Bekaert,FRANKRIKE,Bek Ph,Nei,Ukjent bane,Proff trener A; trene og kjøre
D. Bekaert,FRANKRIKE,D. Bek,Nei,FRANKRIKE,Proff trener A; trene og kjøre
Diego Bellante,ITALIA,Bel Di,Ja,Ukjent bane,Amatør; trene og kjøre
Enrico Bellei,ITALIA,En Bel,Nei,ITALIA,Proff trener A; trene og kjøre
Ole Bender,DANMARK,Ol Ben,Nei,DANMARK,Proff trener A; trene og kjøre
Stine Marlen Bendiksen,NORGE,St Ben,Nei,Harstad Travpark,Proff trener A; trene og kjøre
Per Ivar Bendiksen,NORGE,Pe Ben,Ja,Bjerke Travbane,Amatør; trene og kjøre
Tova Bengtsson,SVERIGE,Ben To,Ja,Ukjent bane,Amatør; trene og kjøre
Robin Benoit,FRANKRIKE,Ben Ro,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
